
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:31:4"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A23&SUBSYS_7A231849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTC#"
"Adres bazy pamiêci 0","4402118000"
"Adres bazowy We/Wy 4","EFA0"
"Bus Mastering:","Wy³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Zdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) SMBus - 7A23"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A23&SUBSYS_7A231849&REV_11\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Raptor Lake-S PCH - SPI (flash) Controller

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SPI (flash) Controller"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SPI (flash) Controller"
"Klasa urz¹dzenia:","Other Serial Bus Controller"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:31:5"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A24&SUBSYS_7A241849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","N/A"
"Adres bazy pamiêci 0","FE010000"
"Bus Mastering:","Wy³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) SPI (flash) Controller - 7A24"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A24&SUBSYS_7A241849&REV_11\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Adapter graficzna


NVIDIA GeForce RTX 4070 Ti SUPER

"Chipset graficzny:","NVIDIA GeForce RTX 4070 Ti SUPER"
"Nazwa kodowa chipsetu graficznego:","AD103-275"
"Pamiêæ graficzna:","16376 MB z GDDR6X SDRAM [Micron]"
"Karta graficzna:","Zotac RTX 4070 Ti SUPER AMP Holo"
"Magistrala kart graficznych:","PCIe v4.0 x16 (16.0 GT/s) @ x8 (5.0 GT/s)"
"GPU Type:","Discrete"
"RAMDAC grafiki:","Integrated RAMDAC"
"Wersja BIOS wideo:","95.03.45.40.23 [UEFI]"
"Wersja chipsetu graficznego:","A1"
"Czêstotliwoœæ procesora graficznego:","705.0 MHz"
"Czêstotliwoœæ jednostki wideo:","2040.0 MHz"
"Czêstotliwoœæ pamiêci graficznej:","625.2 MHz (Efektywny 10004.0 MHz)"
"Szerokoœæ magistrali pamiêci grafiki:","256-bit"
"Liczba ROP:","96"
"Liczba zunifikowanych shaderów:","8448"
"Liczba rdzeni œledzenia promieni:","66"
"Liczba rdzeni tensora:","264"
"Liczba TMU (Texture Mapping Units):","264"
"ASIC Manufacturer:","TSMC"
"Numer seryjny ASIC:","21760189921"
"Stan NVIDIA SLI:","Nieobecny"
"Obs³uga BAR o zmiennym rozmiarze (ReBAR):","Utrzymany"
"Zmienny rozmiar BAR (ReBAR) Stan:","W³¹czony (16 GB)"
"Identyfikator sprzêtu:","PCI\VEN_10DE&DEV_2705&SUBSYS_470719DA&REV_A1"
"Lokalizacja PCI (Magistrala:Urz¹dzenie:Funkcja):","1:00:0"
"Producent sterownika:","NVIDIA"
"Opis sterownika:","NVIDIA GeForce RTX 4070 Ti SUPER"
"Dostawca sterowników:","NVIDIA"
"Wersja sterownika:","32.0.15.8180 (GeForce 581.80)"
"Data sterownika:","29-Oct-2025"
"DCH/UWD Driver:","Zdolny"
"DeviceInstanceId","PCI\VEN_10DE&DEV_2705&SUBSYS_470719DA&REV_A1\4&341CA995&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Monitor


PHILIPS [Unknown Model: PHLC0CF]

"Nazwa monitora:","PHILIPS [Unknown Model: PHLC0CF]"
"Nazwa monitora (od producenta):","PHL 223V5    "
"Numer seryjny:","UKC1417057093"
"Data produkcji:","Tydzieñ: 17, Rok: 2014"
"Identyfikator sprzêtu monitora:","Monitor\PHLC0CF"
"Maks. Rozmiar pionowy:","27 cm"
"Maks. Rozmiar poziomy:","48 cm"
"Czêstotliwoœæ pozioma:","30 - 83 kHz"
"Czêstotliwoœæ pionowa:","56 - 76 Hz"
"Maksymalny zegar pikseli:","170 MHz"
"Sygna³ wejœciowy:","Cyfrowy"
"Gamma Factor:","2.20"
"Standby:","Nieobs³ugiwany"
"Suspend:","Nieobs³ugiwany"
"Active Off:","Utrzymany"
"Standard Colour Space (sRGB) Default:","Nieobs³ugiwany"
"Preferred Timing Mode:","Utrzymany"
"Default GTF (Continuous Frequency):","Nieobs³ugiwany"
"DFP 1.x Compatible:","Nie"
"1920 x 1080","60 Hz"
"1440 x 900","60 Hz"
"1440 x 900","75 Hz"
"1680 x 1050","60 Hz"
"1280 x 720","60 Hz"
"1280 x 1024","60 Hz"
"1920 x 1080","477 x 268 mm, Zegar pikseli 148.50 MHz"
"Red [x,y]:"," 0.6328, 0.3506"
"Green [x,y]:"," 0.3223, 0.6299"
"Blue [x,y]:"," 0.1523, 0.0498"
"White [x,y]:"," 0.3135, 0.3291"
"sRGB Coverage:","101.562 %"
"AdobeRGB Coverage:","75.289 %"
"DCI-P3 Coverage:","74.868 %"
"NTSC Coverage:","71.934 %"
"BT.2020 Coverage:","53.713 %"
"HDR Support:","Nieobs³ugiwany"
"HDR10+ Support:","Nieobs³ugiwany"
"AMD FreeSync Support:","Nieobs³ugiwany"
"NVIDIA G-Sync Support:","Nieobs³ugiwany"
"HDMI AdaptiveSync Support:","Nieobs³ugiwany"
"VESA AdaptiveSync Support:","Nieobs³ugiwany"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic PnP Monitor"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","DISPLAY\PHLC0CF\5&4E4FDE2&0&UID4352"

SAMSUNG [Unknown Model: SAM7058]

"Nazwa monitora:","SAMSUNG [Unknown Model: SAM7058]"
"Nazwa monitora (od producenta):","LC32G7xT     "
"Numer seryjny:","H4ZNC02578   "
"Data produkcji:","Tydzieñ: 51, Rok: 2020"
"Identyfikator sprzêtu monitora:","Monitor\SAM7058"
"Maks. Rozmiar pionowy:","40 cm"
"Maks. Rozmiar poziomy:","70 cm"
"Czêstotliwoœæ pozioma:","358 - 103 kHz"
"Czêstotliwoœæ pionowa:","60 - 240 Hz"
"Maksymalny zegar pikseli:","980 MHz"
"Sygna³ wejœciowy:","Cyfrowy"
"Color Bit Depth:","10 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Nieobs³ugiwany"
"Suspend:","Nieobs³ugiwany"
"Active Off:","Utrzymany"
"Standard Colour Space (sRGB) Default:","Nieobs³ugiwany"
"Preferred Timing Mode:","Utrzymany"
"Default GTF (Continuous Frequency):","Utrzymany"
"DFP 1.x Compatible:","Tak"
"1280 x 720","60 Hz"
"1280 x 800","60 Hz"
"1280 x 1024","60 Hz"
"1440 x 900","60 Hz"
"1600 x 900","60 Hz"
"1680 x 1050","60 Hz"
"1152 x 864","75 Hz"
"2560 x 1440","698 x 393 mm, Zegar pikseli 580.08 MHz"
"Red [x,y]:"," 0.6924, 0.2969"
"Green [x,y]:"," 0.2773, 0.6514"
"Blue [x,y]:"," 0.1465, 0.0645"
"White [x,y]:"," 0.3135, 0.3291"
"sRGB Coverage:","129.398 %"
"AdobeRGB Coverage:","95.925 %"
"DCI-P3 Coverage:","95.388 %"
"NTSC Coverage:","91.650 %"
"BT.2020 Coverage:","68.435 %"
"HDR Support:","Utrzymany"
"HDR10+ Support:","Nieobs³ugiwany"
"AMD FreeSync Support:","Utrzymany"
"Native Color Space Set:","Utrzymany"
"Local Dimming:","Utrzymany"
"Gamma 2.2 EOTF:","Utrzymany"
"Refresh rate:","60 - 240 Hz"
"NVIDIA G-Sync Support:","Nieobs³ugiwany"
"HDMI AdaptiveSync Support:","Nieobs³ugiwany"
"VESA AdaptiveSync Support:","Nieobs³ugiwany"
"Producent sterownika:","Samsung"
"Opis sterownika:","G75T_C32G7xT (DP)"
"Dostawca sterowników:","Samsung"
"Wersja sterownika:","1.0.0.0"
"Data sterownika:","11-Jan-2024"
"DeviceInstanceId","DISPLAY\SAM7058\5&4E4FDE2&0&UID4353"

Napêdy dyskowe


Dyski (S)ATA/ATAPI


Dyski NVMe


Samsung SSD 980 PRO 2TB

"Kontroler dysku:","NVMe (PCIe x4 16.0 GT/s @ x4 16.0 GT/s)"
"Kontroler hosta:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Model dysku:","Samsung SSD 980 PRO 2TB"
"Numer seryjny dysku:","S736NU0WC16854D"
"Wersja oprogramowania sprzêtowego dysku:","5B2QGXA7"
"Obs³ugiwana wersja NVMe:","v1.3"
"Pojemnoœæ dysku:","1,907,729 MB (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Adres SCSI:","1:0:0:0"
"Drive Letter(s):","C:"
"Volatile Write Cache:","Obecny"
"Compare Command:","Utrzymany"
"Write Uncorrectable Command:","Utrzymany"
"Dataset Management:","Utrzymany"
"Write Zeroes:","Nieobs³ugiwany"
"Save field set to a non-zero value:","Utrzymany"
"Reservations:","Nieobs³ugiwany"
"Timestamp:","Utrzymany"
"Autonomous Power State Transitions:","Utrzymany"
"Host Memory Buffer (HMB) Capability:","Nieobs³ugiwany"
"NVM Command Set:","Nieobs³ugiwany"
"Key Value (KV) Command Set:","Nieobs³ugiwany"
"Zoned Namespace (ZNS) Command Set:","Nieobs³ugiwany"
"Subsystem Local Memory Command Set:","Nieobs³ugiwany"
"Computational Programs Namespace Command Set:","Nieobs³ugiwany"
"Dostêpna przestrzeñ poni¿ej progu:","Normalna"
"Krytyczny próg przekroczenia temperatury:","Normalna"
"Pogorszenie niezawodnoœci urz¹dzenia:","Normalna"
"Noœniki w trybie tylko do odczytu:","Normalna"
"Awaria urz¹dzenia kopii zapasowej pamiêci ulotnej:","Normalna"
"Temperatura dysku:","36 °C"
"Próg temperatury ostrze¿enia:","82 °C"
"Próg temperatury krytycznej:","85 °C"
"Czas powy¿ej progu temperatury ostrzegawczej:","0 minuty"
"Czas powy¿ej progu temperatury krytycznej:","0 minuty"
"Dostêpna pojemnoœæ zapasowa:","100%"
"Stan urz¹dzenia:","99%"
"Cykle mocy:","2555"
"Godziny w³¹czenia:","2353 godziny"
"Niebezpieczne wy³¹czenia:","44"
"B³êdy mediów:","0"
"Ca³kowita liczba odczytów hosta:","138.64 TB"
"Ca³kowita liczba zapisów hosta:","38.17 TB"

Samsung SSD 990 EVO Plus 4TB

"Kontroler dysku:","NVMe (PCIe x4 16.0 GT/s @ x4 16.0 GT/s)"
"Kontroler hosta:","Samsung Electronics Piccolo S4LY022 PCIe 4.0 x4 NVMe 2.0 DRAM-less SSD Controller"
"Model dysku:","Samsung SSD 990 EVO Plus 4TB"
"Numer seryjny dysku:","S7U9NU0Y700118A"
"Wersja oprogramowania sprzêtowego dysku:","2B2QKXG7"
"Obs³ugiwana wersja NVMe:","v2.0"
"Pojemnoœæ dysku:","3,815,447 MB (4000 GB)"
"Drive Capacity [MB]:","3815447"
"Adres SCSI:","2:0:0:0"
"Drive Letter(s):","E:"
"Volatile Write Cache:","Obecny"
"Compare Command:","Utrzymany"
"Write Uncorrectable Command:","Utrzymany"
"Dataset Management:","Utrzymany"
"Write Zeroes:","Utrzymany"
"Save field set to a non-zero value:","Utrzymany"
"Reservations:","Nieobs³ugiwany"
"Timestamp:","Utrzymany"
"Autonomous Power State Transitions:","Utrzymany"
"Host Memory Buffer (HMB) Capability:","Utrzymany"
"Host Memory Buffer (HMB) Minimum Size:","16 MB"
"Host Memory Buffer (HMB) Preferred Size:","64 MB"
"Host Memory Buffer (HMB) Status:","W³¹czony"
"Host Memory Buffer (HMB) Enabled Size:","64 MB"
"NVM Command Set:","Nieobs³ugiwany"
"Key Value (KV) Command Set:","Nieobs³ugiwany"
"Zoned Namespace (ZNS) Command Set:","Nieobs³ugiwany"
"Subsystem Local Memory Command Set:","Nieobs³ugiwany"
"Computational Programs Namespace Command Set:","Nieobs³ugiwany"
"Dostêpna przestrzeñ poni¿ej progu:","Normalna"
"Krytyczny próg przekroczenia temperatury:","Normalna"
"Pogorszenie niezawodnoœci urz¹dzenia:","Normalna"
"Noœniki w trybie tylko do odczytu:","Normalna"
"Awaria urz¹dzenia kopii zapasowej pamiêci ulotnej:","Normalna"
"Temperatura dysku:","33 °C"
"Próg temperatury ostrze¿enia:","81 °C"
"Próg temperatury krytycznej:","85 °C"
"Czas powy¿ej progu temperatury ostrzegawczej:","0 minuty"
"Czas powy¿ej progu temperatury krytycznej:","0 minuty"
"Dostêpna pojemnoœæ zapasowa:","100%"
"Stan urz¹dzenia:","100%"
"Cykle mocy:","1"
"Godziny w³¹czenia:","0 godziny"
"Niebezpieczne wy³¹czenia:","0"
"B³êdy mediów:","0"
"Ca³kowita liczba odczytów hosta:","0 GB"
"Ca³kowita liczba zapisów hosta:","1.29 TB"

Samsung SSD 980 PRO 2TB

"Kontroler dysku:","NVMe (PCIe x4 16.0 GT/s @ x4 16.0 GT/s)"
"Kontroler hosta:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Model dysku:","Samsung SSD 980 PRO 2TB"
"Numer seryjny dysku:","S736NU0WC16809A"
"Wersja oprogramowania sprzêtowego dysku:","5B2QGXA7"
"Obs³ugiwana wersja NVMe:","v1.3"
"Pojemnoœæ dysku:","1,907,729 MB (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Adres SCSI:","3:0:0:0"
"Drive Letter(s):","D:"
"Volatile Write Cache:","Obecny"
"Compare Command:","Utrzymany"
"Write Uncorrectable Command:","Utrzymany"
"Dataset Management:","Utrzymany"
"Write Zeroes:","Nieobs³ugiwany"
"Save field set to a non-zero value:","Utrzymany"
"Reservations:","Nieobs³ugiwany"
"Timestamp:","Utrzymany"
"Autonomous Power State Transitions:","Utrzymany"
"Host Memory Buffer (HMB) Capability:","Nieobs³ugiwany"
"NVM Command Set:","Nieobs³ugiwany"
"Key Value (KV) Command Set:","Nieobs³ugiwany"
"Zoned Namespace (ZNS) Command Set:","Nieobs³ugiwany"
"Subsystem Local Memory Command Set:","Nieobs³ugiwany"
"Computational Programs Namespace Command Set:","Nieobs³ugiwany"
"Dostêpna przestrzeñ poni¿ej progu:","Normalna"
"Krytyczny próg przekroczenia temperatury:","Normalna"
"Pogorszenie niezawodnoœci urz¹dzenia:","Normalna"
"Noœniki w trybie tylko do odczytu:","Normalna"
"Awaria urz¹dzenia kopii zapasowej pamiêci ulotnej:","Normalna"
"Temperatura dysku:","31 °C"
"Próg temperatury ostrze¿enia:","82 °C"
"Próg temperatury krytycznej:","85 °C"
"Czas powy¿ej progu temperatury ostrzegawczej:","0 minuty"
"Czas powy¿ej progu temperatury krytycznej:","0 minuty"
"Dostêpna pojemnoœæ zapasowa:","100%"
"Stan urz¹dzenia:","100%"
"Cykle mocy:","2552"
"Godziny w³¹czenia:","1666 godziny"
"Niebezpieczne wy³¹czenia:","40"
"B³êdy mediów:","0"
"Ca³kowita liczba odczytów hosta:","11.20 TB"
"Ca³kowita liczba zapisów hosta:","7.59 TB"

Audio


Intel Raptor Lake-S PCH - cAVS (Audio, Voice, Speech)

"Adapter audio:","Intel Raptor Lake-S PCH - cAVS (Audio, Voice, Speech)"
"Identyfikator sprzêtu kontrolera dŸwiêku:","PCI\VEN_8086&DEV_7A50&SUBSYS_28971849&REV_11"
"Kodek audio wysokiej rozdzielczoœci:","RealTek ALC897"
"Identyfikator sprzêtu kodeka audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0897&SUBSYS_18492897&REV_1004"
"Producent sterownika:","Realtek Semiconductor Corp."
"Opis sterownika:","Realtek High Definition Audio"
"Dostawca sterowników:","Realtek Semiconductor Corp."
"Wersja sterownika:","6.0.9360.1"
"Data sterownika:","31-May-2022"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0897&SUBSYS_18492897&REV_1004\4&50209C9&0&0001"

NVIDIA AD103 - High Definition Audio Controller

"Adapter audio:","NVIDIA AD103 - High Definition Audio Controller"
"Identyfikator sprzêtu kontrolera dŸwiêku:","PCI\VEN_10DE&DEV_22BB&SUBSYS_470719DA&REV_A1"
"Kodek audio wysokiej rozdzielczoœci:","nVidia"
"Identyfikator sprzêtu kodeka audio:","HDAUDIO\FUNC_01&VEN_10DE&DEV_00A4&SUBSYS_19DA4707&REV_1001"
"Producent sterownika:","NVIDIA Corporation"
"Opis sterownika:","NVIDIA High Definition Audio"
"Dostawca sterowników:","NVIDIA Corporation"
"Wersja sterownika:","1.4.5.0"
"Data sterownika:","01-Jun-2025"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10DE&DEV_00A4&SUBSYS_19DA4707&REV_1001\5&19CDCC72&0&0001"

Sieæ


RealTek Semiconductor RTL8125 Gaming 2.5GbE Family Ethernet Controller

"Karta sieciowa:","RealTek Semiconductor RTL8125 Gaming 2.5GbE Family Ethernet Controller"
"Opis dostawcy:",""
"Adres MAC:","9C-6B-00-21-51-18"
"Maksymalna prêdkoœæ ³¹cza:","2500 Mbps"
"Aktualna prêdkoœæ ³¹cza:","2500 Mbps"
"Rozmiar bufora transmisji:","6201344 Bytes"
"Rozmiar bufora odbioru:","1570816 Bytes"
"Identyfikator sprzêtu:","PCI\VEN_10EC&DEV_8125&SUBSYS_81251849&REV_05"
"Producent sterownika:","Realtek"
"Opis sterownika:","Realtek Gaming 2.5GbE Family Controller"
"Dostawca sterowników:","Realtek"
"Wersja sterownika:","1125.26.20.2025"
"Data sterownika:","10-Jul-2025"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8125&SUBSYS_81251849&REV_05\4&169602DE&0&00E0"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Killer Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)

"Karta sieciowa:","Killer Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)"
"Opis dostawcy:","Microsoft"
"Adres MAC:","58-6C-25-FE-E8-AE"
"Maksymalna prêdkoœæ ³¹cza:","1 Mbps"
"Aktualna prêdkoœæ ³¹cza:","1 Mbps"
"Rozmiar bufora transmisji:","Nieznany"
"Rozmiar bufora odbioru:","Nieznany"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_2725&SUBSYS_16741A56&REV_1A"
"Producent sterownika:","Intel"
"Opis sterownika:","Killer(R) Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)"
"Dostawca sterowników:","Intel"
"Wersja sterownika:","23.150.0.4"
"Data sterownika:","12-Jun-2025"
"DeviceInstanceId","PCI\VEN_8086&DEV_2725&SUBSYS_16741A56&REV_1A\4&1C55AE03&0&00E3"
"Location Paths","PCIROOT(0)#PCI(1C03)#PCI(0000)"

Realtek USB 2.5GbE Family Controller

"Karta sieciowa:","Realtek USB 2.5GbE Family Controller"
"Opis dostawcy:",""
"Adres MAC:","C0-EA-C3-66-F7-EA"
"Maksymalna prêdkoœæ ³¹cza:","2500 Mbps"
"Aktualna prêdkoœæ ³¹cza:","1 Gbps"
"Rozmiar bufora transmisji:","6201344 Bytes"
"Rozmiar bufora odbioru:","1550336 Bytes"

Porty


Porty szeregowe


COM3


COM4


USB


Intel(R) USB 3.20 eXtensible Host Controller - 1.20 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : Logitech, PID=C547

"Producent urz¹dzenia:","Logitech"
"Nazwa produktu:","USB Receiver"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","98 mA"
"Opis sterownika:","LIGHTSPEED Receiver"
"Identyfikator sprzêtu:","USB\VID_046D&PID_C547"
"Producent sterownika:","Logitech"
"Opis sterownika:","LIGHTSPEED Receiver"
"Dostawca sterowników:","Logitech"
"Wersja sterownika:","1.1.77.5292"
"Data sterownika:","15-Sep-2025"
"DeviceInstanceId","USB\VID_046D&PID_C547\5&260B46E3&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : Elgato Systems, PID=0080

"Producent urz¹dzenia:","Elgato"
"Nazwa produktu:","Stream Deck MK.2"
"Numer seryjny:","A00SA4202MBMQB"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_0FD9&PID_0080"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0FD9&PID_0080\A00SA4202MBMQB"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : ASUS, PID=1ACE

"Producent urz¹dzenia:","ASUSTeK"
"Nazwa produktu:","ROG OMNI RECEIVER"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie kompozytowe USB"
"Identyfikator sprzêtu:","USB\VID_0B05&PID_1ACE"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Composite Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0B05&PID_1ACE\5&260B46E3&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : ASMedia ASM2074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Rodzajowy koncentrator USB"
"Identyfikator sprzêtu:","USB\VID_174C&PID_2074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_2074\5&260B46E3&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port9] : ASMedia ASM2074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Rodzajowy koncentrator USB"
"Identyfikator sprzêtu:","USB\VID_174C&PID_2074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_2074\5&260B46E3&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port10] : No Device Connected


[Port11] : Corsair, PID=0C32

"Producent urz¹dzenia:","Corsair"
"Nazwa produktu:","Corsair, PID=0C32"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Urz¹dzenie kompozytowe USB"
"Identyfikator sprzêtu:","USB\VID_1B1C&PID_0C32"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Composite Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_1B1C&PID_0C32\208437933330"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(11)"

[Port12] : Corsair, PID=0C39

"Producent urz¹dzenia:","Corsair"
"Nazwa produktu:","LCD Cap for Elite Capellix coolers"
"Numer seryjny:","1514232480001"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_1B1C&PID_0C39"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_1B1C&PID_0C39\1514232480001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(12)"

[Port13] : Urz¹dzenie wejœciowe USB

"Producent urz¹dzenia:","-"
"Nazwa produktu:","-"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","1.10"
"USB Speed Capable:","USB 1.1 Full-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_26CE&PID_01A2"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_26CE&PID_01A2\A02019100900"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(13)"

[Port14] : Intel, PID=0032

"Producent urz¹dzenia:","Intel"
"Nazwa produktu:","Intel, PID=0032"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","2.01"
"USB Speed Capable:","USB 1.1 Full-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Intel(R) Wireless Bluetooth(R)"
"Identyfikator sprzêtu:","USB\VID_8087&PID_0032"
"Producent sterownika:","Intel Corporation"
"Opis sterownika:","Intel(R) Wireless Bluetooth(R)"
"Dostawca sterowników:","Intel Corporation"
"Wersja sterownika:","23.90.0.8"
"Data sterownika:","18-Oct-2024"
"DeviceInstanceId","USB\VID_8087&PID_0032\5&260B46E3&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


